Año,Entidad,Tasa por 100 mil habitantes
2015,Aguascalientes,3889.561309
2016,Aguascalientes,3536.944325
2017,Aguascalientes,3528.769546
2018,Aguascalientes,4100.387253
2019,Aguascalientes,4280.844342
2020,Aguascalientes,3757.783974
2021,Aguascalientes,2719.86471
2022,Aguascalientes,2683.560319
2015,Baja California,4731.106459
2016,Baja California,4402.34858
2017,Baja California,4208.654162
2018,Baja California,4930.846465
2019,Baja California,5009.724814
2020,Baja California,5635.802334
2021,Baja California,5358.60562
2022,Baja California,5703.838315
2015,Baja California Sur,3432.788435
2016,Baja California Sur,3229.516849
2017,Baja California Sur,3292.255515
2018,Baja California Sur,4105.358836
2019,Baja California Sur,4303.806342
2020,Baja California Sur,4691.548356
2021,Baja California Sur,4737.888316
2022,Baja California Sur,4132.69169
2015,Campeche,3445.708914
2016,Campeche,862.8088464
2017,Campeche,362.7695323
2018,Campeche,426.8921395
2019,Campeche,400.6827274
2020,Campeche,380.368775
2021,Campeche,413.9468425
2022,Campeche,338.3344478
2015,Chiapas,424.304455
2016,Chiapas,483.4670264
2017,Chiapas,512.8791354
2018,Chiapas,726.1614069
2019,Chiapas,915.4913382
2020,Chiapas,838.8738451
2021,Chiapas,764.4783986
2022,Chiapas,736.5791674
2015,Chihuahua,2809.791664
2016,Chihuahua,2873.170418
2017,Chihuahua,2730.116216
2018,Chihuahua,2954.488368
2019,Chihuahua,2893.933323
2020,Chihuahua,2957.18803
2021,Chihuahua,2510.16104
2022,Chihuahua,2648.583234
2015,Ciudad de México,3874.143686
2016,Ciudad de México,3828.788127
2017,Ciudad de México,3522.018698
2018,Ciudad de México,4479.62937
2019,Ciudad de México,4559.167148
2020,Ciudad de México,3584.421828
2021,Ciudad de México,3138.402221
2022,Ciudad de México,3014.544504
2015,Coahuila de Zaragoza,2946.543766
2016,Coahuila de Zaragoza,2654.520705
2017,Coahuila de Zaragoza,2381.959522
2018,Coahuila de Zaragoza,2570.642246
2019,Coahuila de Zaragoza,2696.843502
2020,Coahuila de Zaragoza,2638.14491
2021,Coahuila de Zaragoza,2444.842821
2022,Coahuila de Zaragoza,2323.864205
2015,Colima,5066.492605
2016,Colima,5054.424177
2017,Colima,4686.740535
2018,Colima,4999.467745
2019,Colima,4720.520182
2020,Colima,4822.593985
2021,Colima,3019.999086
2022,Colima,1539.981053
2015,Durango,2140.027977
2016,Durango,2375.581279
2017,Durango,2175.318404
2018,Durango,2565.078029
2019,Durango,2679.86738
2020,Durango,2897.701822
2021,Durango,2715.055899
2022,Durango,2511.612206
2015,Guanajuato,3445.792455
2016,Guanajuato,3343.038347
2017,Guanajuato,3092.541583
2018,Guanajuato,3398.38134
2019,Guanajuato,3245.958614
2020,Guanajuato,2898.484638
2021,Guanajuato,2640.304443
2022,Guanajuato,2439.702338
2015,Guerrero,1161.417345
2016,Guerrero,1082.039216
2017,Guerrero,1038.593796
2018,Guerrero,1217.342133
2019,Guerrero,1294.90724
2020,Guerrero,1506.402982
2021,Guerrero,1557.839056
2022,Guerrero,1546.998801
2015,Hidalgo,2408.680028
2016,Hidalgo,2176.039134
2017,Hidalgo,2109.575047
2018,Hidalgo,2558.475369
2019,Hidalgo,2624.285027
2020,Hidalgo,2316.309447
2021,Hidalgo,1737.412809
2022,Hidalgo,1424.994545
2015,Jalisco,2363.128458
2016,Jalisco,2436.065885
2017,Jalisco,2514.446609
2018,Jalisco,3204.65142
2019,Jalisco,3410.378419
2020,Jalisco,3582.236817
2021,Jalisco,2680.757503
2022,Jalisco,1824.463363
2015,México,3805.627247
2016,México,3777.587093
2017,México,3429.793612
2018,México,3678.781917
2019,México,3702.800452
2020,México,3644.881184
2021,México,3070.23102
2022,México,3652.333344
2015,Michoacán de Ocampo,1455.819915
2016,Michoacán de Ocampo,1540.759337
2017,Michoacán de Ocampo,1536.477448
2018,Michoacán de Ocampo,1629.117941
2019,Michoacán de Ocampo,1629.619854
2020,Michoacán de Ocampo,1550.469798
2021,Michoacán de Ocampo,1250.991763
2022,Michoacán de Ocampo,1194.684115
2015,Morelos,3207.273084
2016,Morelos,3116.708548
2017,Morelos,3029.114489
2018,Morelos,3159.102764
2019,Morelos,3294.700691
2020,Morelos,3453.527456
2021,Morelos,3657.476076
2022,Morelos,3959.75681
2015,Nayarit,1053.886492
2016,Nayarit,609.4344214
2017,Nayarit,509.7188614
2018,Nayarit,564.1262341
2019,Nayarit,578.9869272
2020,Nayarit,406.0055923
2021,Nayarit,448.0317923
2022,Nayarit,799.737316
2015,Nuevo León,2750.595818
2016,Nuevo León,2471.338454
2017,Nuevo León,2115.018608
2018,Nuevo León,2086.19409
2019,Nuevo León,2259.309354
2020,Nuevo León,2412.317738
2021,Nuevo León,2514.281681
2022,Nuevo León,2211.556295
2015,Oaxaca,1679.906769
2016,Oaxaca,1605.231454
2017,Oaxaca,1523.636661
2018,Oaxaca,1729.10896
2019,Oaxaca,1657.873598
2020,Oaxaca,1329.189474
2021,Oaxaca,1243.829149
2022,Oaxaca,247.0597925
2015,Puebla,1951.35612
2016,Puebla,1900.248407
2017,Puebla,1709.938897
2018,Puebla,2146.753642
2019,Puebla,1800.792454
2020,Puebla,1600.610671
2021,Puebla,1336.54331
2022,Puebla,1647.278891
2015,Querétaro,3626.624844
2016,Querétaro,3391.230057
2017,Querétaro,3437.624767
2018,Querétaro,4011.928135
2019,Querétaro,3904.39202
2020,Querétaro,3724.580882
2021,Querétaro,3125.696904
2022,Querétaro,2496.129245
2015,Quintana Roo,4199.388732
2016,Quintana Roo,4079.362785
2017,Quintana Roo,3816.111224
2018,Quintana Roo,4703.807656
2019,Quintana Roo,3526.964261
2020,Quintana Roo,2700.299328
2021,Quintana Roo,1895.165553
2022,Quintana Roo,3241.264474
2015,San Luis Potosí,2937.043515
2016,San Luis Potosí,2723.009459
2017,San Luis Potosí,2467.077312
2018,San Luis Potosí,2813.931002
2019,San Luis Potosí,2186.643186
2020,San Luis Potosí,1992.879907
2021,San Luis Potosí,1570.262338
2022,San Luis Potosí,1166.229706
2015,Sinaloa,1598.818818
2016,Sinaloa,1470.458984
2017,Sinaloa,1313.515679
2018,Sinaloa,1336.131633
2019,Sinaloa,1409.255573
2020,Sinaloa,1399.529259
2021,Sinaloa,1251.296272
2022,Sinaloa,1417.307301
2015,Sonora,1750.311772
2016,Sonora,1986.060823
2017,Sonora,1739.147562
2018,Sonora,1321.10136
2019,Sonora,1059.244056
2020,Sonora,1462.140009
2021,Sonora,2218.770122
2022,Sonora,1579.40812
2015,Tabasco,2568.221326
2016,Tabasco,2817.482862
2017,Tabasco,2867.904441
2018,Tabasco,3825.492159
2019,Tabasco,4177.250972
2020,Tabasco,4237.659859
2021,Tabasco,4144.754278
2022,Tabasco,3842.019532
2015,Tamaulipas,1558.780319
2016,Tamaulipas,1555.362777
2017,Tamaulipas,1395.198086
2018,Tamaulipas,1853.401558
2019,Tamaulipas,1947.829294
2020,Tamaulipas,2142.851764
2021,Tamaulipas,2143.102583
2022,Tamaulipas,2105.805043
2015,Tlaxcala,619.9425648
2016,Tlaxcala,629.5947225
2017,Tlaxcala,577.7660805
2018,Tlaxcala,622.7058942
2019,Tlaxcala,912.4034157
2020,Tlaxcala,1011.31421
2021,Tlaxcala,950.861009
2022,Tlaxcala,1107.406794
2015,Veracruz de Ignacio de la Llave,1546.481311
2016,Veracruz de Ignacio de la Llave,1612.61829
2017,Veracruz de Ignacio de la Llave,1502.194706
2018,Veracruz de Ignacio de la Llave,1770.156756
2019,Veracruz de Ignacio de la Llave,1254.141073
2020,Veracruz de Ignacio de la Llave,1401.026746
2021,Veracruz de Ignacio de la Llave,856.93024
2022,Veracruz de Ignacio de la Llave,876.1105235
2015,Yucatán,239.3827854
2016,Yucatán,464.7558543
2017,Yucatán,457.6083248
2018,Yucatán,957.7432329
2019,Yucatán,824.2690242
2020,Yucatán,1448.032417
2021,Yucatán,1992.325594
2022,Yucatán,2089.671819
2015,Zacatecas,2224.558773
2016,Zacatecas,2198.372453
2017,Zacatecas,1996.107509
2018,Zacatecas,2102.224726
2019,Zacatecas,1896.009888
2020,Zacatecas,1730.518586
2021,Zacatecas,1570.667879
2022,Zacatecas,1533.468466
